Anime_id,Title,Genre,Synopsis,Type,Producer,Studio,Rating,ScoredBy,Popularity,Members,Episodes,Source,Aired,Link,is_hentai
299,.hack//Liminality,"['Game', 'Mystery', 'Sci-Fi']","While playing the newly released MMORPG ""The World,"" Minase Mai and Tomonari Kasumi collapsed in the real world and were sent to the hospital after hearing a mysterious sound. Only Mai had recovered while her friend Kasumi had slipped into a mysterious coma. Mai is later approached by the creator of ""The World,"" Tokuoka Junichiro, who unveils to her that, just like her friend, six other players across the country had also collapsed while playing ""The World"" and are now in mysterious comas. What exactly is ""The World,"" what is this mysterious sound Mai keeps on hearing, and why are people slipping into comas from this game? Minase, Junichiro and their acquaintances set off to get to the bottom of this problem before any further harm happens. 
 
[Written by MAL Rewrite]",OVA,"['Bandai Visual', 'Bandai', 'CyberConnect2']",['Bee Train'],6.69,13644.0,2630.0,26821.0,4.0,Original,"Jun 20, 2002 to Apr 10, 2003",https://myanimelist.net/anime/299/hack__Liminality,False
9332,.hack//Quantum,"['Action', 'Adventure', 'Fantasy', 'Game', 'Sci-Fi']","Tobias, Mary, and Sakuya challenge the impregnable ""The One Sin"", but they lose their way in the maze and unintentionally trap other guild members. A mysterious cat is watching their blunder. Is it another player character or NPC? ",OVA,"['Bandai Visual', 'flying DOG', 'Showgate', 'BIGLOBE']",['Kinema Citrus'],7.29,15660.0,2387.0,30773.0,3.0,Original,"Jan 28, 2011 to Apr 7, 2011",https://myanimelist.net/anime/9332/hack__Quantum,False
873,.hack//Roots,,"After the termination of the incredibly popular virtual reality MMORPG ""The World,"" a new version of the game—The World R:2—is brought online. On his first day in the game, newcomer Haseo thinks he has made some friends to quest with. However, as if mocking his sentiments, they kill his character just for fun. Luckily, he is saved by a mysterious, one-armed player named Ovan who offers to show him around The World.  
 
Alongside Ovan and his cleric friend Shino, Haseo enjoys a wonderful first year in the game. But this peaceful life is shattered when Shino's character is killed by a familiar figure notoriously known as Tri-Edge, whose victims have all fallen into comas in the real world. In a fit of rage, Haseo vows to find the elusive Tri-Edge and kill him. 
 
Taking place during Haseo's first year in The World,  .hack//Roots  explores the friendships Haseo built in the game before Tri-Edge ripped them away. 
 
[Written by MAL Rewrite]",TV,,,7.06,,1621.0,62437.0,,,"Apr 6, 2006 to Sep 28, 2006",https://myanimelist.net/anime/873/hack__Roots,False
48,.hack//Sign,"['Game', 'Sci-Fi', 'Adventure', 'Mystery', 'Magic', 'Fantasy']","A young wavemaster, only known by the alias of Tsukasa, wakes up in an MMORPG called The World, with slight amnesia. He does not know what he has previously done before he woke up. In The World, the Crimson Knights suspects him of being a hacker, as he was seen accompanying a tweaked character in the form of a cat. Unable to log out from the game, he wanders around looking for answers, avoiding the knights and other players he meets along the way. 
 
As Tsukasa explores The World, he stumbles upon a magical item that takes the form of a ""guardian,"" which promises him protection from all harm. Subaru, the leader of the Crimson Knights, along with several other players who became acquainted with Tsukasa, set out to investigate why Tsukasa is unable to log out, and attempt to get to the bottom of the problem before it gets out of hand. 
 
[Written by MAL Rewrite]",TV,"['Bandai Visual', 'Yomiko Advertising', 'Bandai', 'CyberConnect2']",['Bee Train'],7.09,61438.0,771.0,129203.0,26.0,Original,"Apr 4, 2002 to Sep 26, 2002",https://myanimelist.net/anime/48/hack__Sign,False
298,.hack//Tasogare no Udewa Densetsu,"['Adventure', 'Comedy', 'Fantasy', 'Game', 'Sci-Fi', 'Shounen']","Winning the legendary characters ""Kite"" and ""Black Rose"" from an event held by the creators of the MMORPG ""The World,"" Shugo and his twin sister Rena steps into ""The World."" Together they completed events and quests, along with their new friends Ouka, Mirelle, Hotaru, and Sanjuro. Soon after, mysterious monsters appeared, and death by these monsters caused players to slip into a coma in the real world. Only Shugo and Rena can solve this problem, but why are they being targeted, and what secrets is the game hiding? 
 
[Written by MAL Rewrite]",TV,"['Bandai Visual', 'Yomiko Advertising']",['Bee Train'],6.7,28005.0,1728.0,53010.0,12.0,Manga,"Jan 9, 2003 to Mar 27, 2003",https://myanimelist.net/anime/298/hack__Tasogare_no_Udewa_Densetsu,False
11375,.hack//The Movie: Sekai no Mukou ni,,"In 2024, the computer network prevails throughout daily life. Sora Yuuki is a 14-year-old girl. One day, she is invited to an online game ""The World"". After an accident in the game, the real world begins to deform.",Movie,,,7.32,,3660.0,15033.0,,,"Jan 21, 2012",https://myanimelist.net/anime/11375/hack__The_Movie__Sekai_no_Mukou_ni,False
1487,.hack//Unison,"['Adventure', 'Comedy', 'Fantasy', 'Game', 'Magic', 'Sci-Fi']","Somewhere in the MMORPG called ""The World,"" a group is gathered at a pub, awaiting the start of an event. There, old friends and acquaintances are reunited, including those who rarely log on. Some are even forging new relationships for the first time. Together, invited by the hacker Helba, the group leaves for the event in the Net Slums where a celebration awaits them all. 
 
[Written by MAL Rewrite]",Special,"['Bandai Visual', 'Bandai']",['Bee Train'],6.79,9039.0,3197.0,18453.0,1.0,Original,"Oct 24, 2003",https://myanimelist.net/anime/1487/hack__Unison,False
15219,.hack//Versus: The Thanatos Report,"['Action', 'Game', 'Sci-Fi']","Bundled along with a free game, .hack//Versus, on the .hack//Sekai no Mukou ni Blu-ray disc, is a special called ""The Thanatos Report"". This special connects the events of the game with the events of the movie and ""reveal the last truth"". The protagonist of the special is David; a character who also appears in the main movie. The special takes place in both 2024 (the year in which the movie takes place) and 2025 (the year in which the game .hack//Versus takes place).  
 
(Source: AnimeReviews.co) ",Special,,,6.45,1825.0,5354.0,5299.0,1.0,Unknown,"Jun 28, 2012",https://myanimelist.net/anime/15219/hack__Versus__The_Thanatos_Report,False
29978,001,['Comedy'],Short animation by Masaki Okuda.,ONA,,,3.33,1805.0,5425.0,2582.0,1.0,Unknown,"Feb 7, 2013",https://myanimelist.net/anime/29978/001,False
11755,009 Re:Cyborg,"['Action', 'Adventure', 'Mecha', 'Sci-Fi']","Nine regular humans from different parts of the world are abducted and transformed into cyborgs with astounding powers for the purpose of being used as weapons. The nine cyborgs rebel and start to fight against their creators in the name of justice and world peace. Decades later, the nine cyborgs seem to be untouched by time, but they live in a world where ""justice"" has as many nuances as the number of people living on the planet. What is their place in the world now?  
 
""In the beginning was the Voice, and the word was Him; and all obeyed His word in great awe. But those who dwelt upon the land, through vanity, cunning and greed, attempted to build a multitude of towers whose tops reached unto heaven, and accumulated great wealth on earth. Scattering across the land and laying it to waste, man turned a deaf ear to His Voice. So He gave unto man an opportunity to atone for his misdeeds; and flame and smoke and the roar of a lion descended upon earth; and shattered the many towers to dust....""  
 
(Source: Production I.G Official Website) ",Movie,"['Nippon Television Network', 'Ishimori Pro']","['Production I.G', 'SANZIGEN']",6.69,4332.0,3978.0,10647.0,1.0,Unknown,"Oct 27, 2012",https://myanimelist.net/anime/11755/009_Re_Cyborg,False
1583,009-1,"['Action', 'Mecha', 'Sci-Fi', 'Seinen']","Mylene Hoffman, a beautiful cyborg spy with the codename ""009-1"" lives in an alternative world where the cold war never ended, continuously on-going for 140 years. The world is split into two factions, the West and the East block. A masquerade of peace between the two is slowly dissipated as the conflict occurs. Through politics, the two factions battle over supremacy over technology to threats of a nuclear attack. Mylene Hoffman, teaming up with three other agent, gets surrounded by deception, chaos and rivalry as she carries out missions assigned by her superiors. 
 
[Written by MAL Rewrite]",TV,"['Aniplex', 'TBS', 'Sony Music Entertainment']",['Ishimori Entertainment'],6.34,4233.0,3643.0,13309.0,12.0,Manga,"Oct 6, 2006 to Dec 22, 2006",https://myanimelist.net/anime/1583/009-1,False
28761,00:08,['Dementia'],"A man enjoys a drink over and over and over again, for eight seconds each time. It's the same every time... or at least that's what it seems like at first. With every sip, something changes, making things a little more intriguing each time. 
 
[Written by MAL Rewrite]",Movie,,,5.02,2683.0,5503.0,4166.0,1.0,Unknown,"Jun 8, 2014",https://myanimelist.net/anime/28761/00_08,False
5525,07-Ghost,"['Action', 'Demons', 'Fantasy', 'Josei', 'Magic', 'Military']","Barsburg Empire's Military Academy is known for training elites who bring victory to the empire. Students of the academy freely utilize an ability called ""Zaiphon"" to fight, while the types of Zaiphon usable depends on the nature of the soldier. 
 
Teito Klein, a student at the academy, is one of the most promising soldiers produced. Although ridiculed by everyone for being a sklave (German for slave) with no memories of his past, he is befriended by a fellow student called Mikage. While preparing for the final exam, Teito uncovers a dark secret related to his past. When an attempt to assassinate Ayanami, a high-ranking official who killed his father, fails, Teito is locked away awaiting punishment. 
 
Only wanting the best for Teito, Mikage helps him escape. Teito ends up at the 7th District Church where he is taken in by the bishops. It is here that Teito attempts to evade the grasp of Ayanami and the Military, so he can rediscover his memories and learn why he is the person that can change the fate of the world. 
 
[Written by MAL Rewrite]",TV,['Ichijinsha'],['Studio Deen'],7.36,73741.0,669.0,148193.0,25.0,Manga,"Apr 7, 2009 to Sep 22, 2009",https://myanimelist.net/anime/5525/07-Ghost,False
2730,1+2=Paradise,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'Seinen']","When Yuusuke awakens from a nightmare in which a demon warns him that women will be his downfall, he discovers that real life isn’t any better! Having a gynaecologist as a father, the poor boy is under pressure to overcome his irrational fear of women, and feisty twin sisters Yuka and Rika are on hand to give a helping hand. Using any method they can think of to seduce the red-faced boy, the racy competition soon heats up as busty Barako bounces onto the scene with an equal determination to seduce Yuusuke. Which of the horny heroines will win his heart, and more importantly, will he survive a non-stop onslaught of naked breasts, panties and bondage? 
 
(Source: anime-planet)",OVA,['Agent 21'],['J.C.Staff'],5.15,2375.0,5273.0,4891.0,2.0,Manga,"Feb 23, 1990 to Apr 27, 1990",https://myanimelist.net/anime/2730/1_2_Paradise,False
34052,100% Pascal-sensei (TV),['Comedy'],"The story centers around an elementary school teacher who is so stupid that he cannot even write his own name. He does whatever he likes in his classroom. Plus, by all appearances, he is not human. 
 
(Source: ANN)",TV,"['Dentsu', 'Shogakukan Productions', 'Asatsu DK', 'Mainichi Broadcasting System', 'Nippon Columbia', 'Shogakukan', 'Sumitomo']",['OLM'],5.61,311.0,8096.0,1419.0,36.0,Manga,"Apr 15, 2017 to Dec 16, 2017",https://myanimelist.net/anime/34052/100_Pascal-sensei_TV,False
1549,1000-nen Joou: Queen Millennia,"['Adventure', 'Fantasy', 'Drama', 'Sci-Fi']","AD 1999, the Earth was in a critical situation; a planet Lar Metal was approaching to the Earth. Meanwhile, Yukino Yayoi was heard about Lar Metal from Dr. Amamori of Tokyo Observatory. She was a junior high school teacher, but she also worked for Dr. Amamori who appreciated her astronomical knowledge. Actually Yukino Yayoi was Queen Millennia who had come from Lar Metal 1000 years before, and she had been watching human beings since then. 
 
Soon, numerous meteors fell on the Earth, and people were in panic. In this catastrophe, Hajime, who was a student of Yayoi, came to help Yayoi. Yayoi invited him into a big cave under the ground. 
 
(Source: AnimeNfo)",Movie,,['Toei Animation'],6.94,879.0,6844.0,2625.0,1.0,Manga,"Mar 13, 1982",https://myanimelist.net/anime/1549/1000-nen_Joou__Queen_Millennia,False
3914,1001 Nights,"['Demons', 'Fantasy', 'Romance', 'Seinen']","Presented in the form of a feverish love dream, 1001 Nights (based on Amano`s book of artwork) is the first performance of the groundbreaking ""Filmharmonic"" series, which presents new orchestral works by film composers in tandem with short films made by A-list directors. Nights is the series's only animated work, and plans originally called for the film to be completely computer animated.  
 
(Source: AniDB)",Movie,,,6.34,2682.0,4700.0,6483.0,1.0,Unknown,"Apr 24, 1999",https://myanimelist.net/anime/3914/1001_Nights,False
1901,11-nin Iru!,"['Action', 'Adventure', 'Drama', 'Mystery', 'Romance', 'Sci-Fi', 'Shoujo', 'Space']","The elite Cosmo Academy attracts applicants from every stellar nation in the galaxy. One young hopeful is Tadatos Lane, an orphan esper from Terra. The final stage of the academy's entrance exam is a perilous mission simulation aboard an actual derelict starship. The applicants depart for the ships in groups of ten, but when Tada's crew arrives on the Esperanza, they are horrified to discover that they now number eleven. As the test progresses, things go awry and the atmosphere grows increasingly tense. The crew members begin to suspect sabotage, and Tada appears to be the likely culprit.  
 
(Source: ANN)",Movie,['Kitty Films'],,7.23,2481.0,4958.0,5718.0,1.0,Manga,"Nov 1, 1986",https://myanimelist.net/anime/1901/11-nin_Iru,False
6682,11eyes,,"When the Sky turns Red, the Moon turns Black, and monsters begin roaming the streets, Satsuki Kakeru is at a loss for what to do. Along with his best friend Yuka, they try to decipher why they have been sent to this strange world, which is seemingly empty aside from themselves. 
 
However, when the ""Red Night"" ends, Kakeru and Yuka believed it was all a dream, until it happens again and they are left in a dangerous situation. They meet four others in the same predicament: Kusakabe Misuzu, an expert swordswoman, Tachibana Kukuri, a strange mute girl who looks uncannily like Kakeru's deceased sister, Hirohara Yukiko, a lively young girl whose personality reverts to that of a cold killer when her glasses are removed, and Tajima Takahisa, a young pyrokineticist. 
 
As the six of them band together to survive and discover what this mysterious world is, things take a turn for the worse as six shadows appear before them... 
 
[Written by MAL Rewrite]",TV,,,6.49,,577.0,186791.0,,,"Oct 7, 2009 to Dec 23, 2009",https://myanimelist.net/anime/6682/11eyes,False
23579,12-sai.,"['Romance', 'School', 'Shoujo']","The story begins with Hanabi, a sixth-grade girl who is neither an adult nor a child. She deals with issues such as accidentally witnessing her homeroom teacher kissing, and worrying about experiencing physiological changes before her friends. The manga depicts a 12-year-old girl's innocent worries and first love. 
 
(Source: ANN) ",OVA,['Half H.P Studio'],['SynergySP'],6.44,1990.0,4412.0,7983.0,8.0,Manga,"Apr 3, 2014 to Jan 3, 2015",https://myanimelist.net/anime/23579/12-sai,False
5762,15 Bishoujo Hyouryuuki,,Centers on Kazuma and 15 beautiful girls who are stranded on a deserted Pacific island by a tumultuous storm.,OVA,,,6.98,,3362.0,18035.0,,,"Aug 3, 2009 to May 2, 2011",https://myanimelist.net/anime/5762/15_Bishoujo_Hyouryuuki,False
35248,18if,"['Mystery', 'Supernatural']","Waking up in a strange bedroom in a dream world, teenager Haruto Tsukishiro finds a strange app on his phone. When he activates the program, an odd woman appears and tries to drag him to her realm. Luckily, a mysterious, white-haired girl severs their connection and helps him escape, revealing that the woman is a witch; however, their conversation is cut short. As Haruto enters the realm again, he meets an anthropomorphic, talking cat named Katsumi Kanzaki. While the witch's minions pursue them, the white-haired girl opens a door for them to escape. 
 
After their ordeal, Haruto describes their savior—which only he can see—and Katsumi, the leading authority on dream world research, realizes that she must be ""Lily,"" a being that resurfaces repeatedly across multiple dreamscapes. Hoping to leave the dream world through a blue door, they enter the witch's realm once again. Finding themselves in peril, Lily reveals the truth to Haruto: witches suffer from ""Sleeping Beauty Syndrome,"" a coma-like sleep state induced by torment in their real world lives. Thus, they cannot wake until they are defeated in the dream world. 
 
After finally defeating the witch and locating the blue door, Haruto and Katsumi say their farewells, promising to meet up in the real world. However, when Haruto exits through the door he awakens in the dream world bedroom once more. Seeking answers, Haruto and Katsumi try to uncover the mysteries of the witches, Lily, and Haruto's own inability to leave the dream world. 
 
[Written by MAL Rewrite]",TV,"['Sotsu', 'DLE', 'BS Fuji', 'Tokyo MX', 'Mobcast', 'RAY']",['Gonzo'],6.34,9487.0,2183.0,32144.0,13.0,Game,"Jul 7, 2017 to Sep 29, 2017",https://myanimelist.net/anime/35248/18if,False
29347,20-dai no Heya-hen,['Slice of Life'],"An advertisement for MyNavi Chintai  (MyNavi Rental) that began airing on television on January 10, 2015. 
 
The ""20-dai no Heya-hen"" (Rooms for Twentysomethings) commercial shows how the MyNavi Chintai service lets young people find living spaces that fit their different lifestyles. The characters profiled include a man living alone who searched for a place ""near the station,"" a woman with a dog who searched for an apartment that ""allows pets,"" a couple who searched for a place ""for two,"" and a woman searching for a room on the service. 
 
(Source: ANN)",Special,,,5.19,510.0,8814.0,1072.0,1.0,Unknown,"Jan 7, 2015",https://myanimelist.net/anime/29347/20-dai_no_Heya-hen,False
28339,2005-nen Uchuu no Tabi,"['Space', 'Dementia', 'Sci-Fi']",Experimental short film by Michio Mihara.,Special,,,4.55,664.0,8422.0,1157.0,1.0,Unknown,"Dec 31, 2005",https://myanimelist.net/anime/28339/2005-nen_Uchuu_no_Tabi,False
40148,22/7,,"TV Anime Series for Idol Group 22/7, Slated for January 2020.",,,,,,5436.0,5834.0,,,"Jan 11, 2020 to ?",https://myanimelist.net/anime/40148/22_7,False
36840,25-sai no Joshikousei,"['Ecchi', 'Romance', 'School']","Once most students are done with high school, they leave and never come back. However, at 25 years old, Hana Natori  finds herself in the role of a student once more at her aunt's request.  
 
Since Hana's cousin, Kaho Miyoshi, refuses to go to school, her aunt begs Hana to take Kaho's place, since the two of them are practically identical. But as luck would have it, she is recognized by Okito Kanie—an old classmate from her days in high school—who is now a teacher! With her cover blown, Hana assumes Kanie will expose her secret. But when he suddenly kisses her, she soon learns he has other ideas. 
 
[Written by MAL Rewrite]",TV,"['Cosmic Ray', 'Picante Circus', 'Suiseisha', 'Tavac']",['Lilix'],5.5,2583.0,2988.0,15729.0,12.0,Web manga,"Jan 8, 2018 to Mar 26, 2018",https://myanimelist.net/anime/36840/25-sai_no_Joshikousei,False
2467,3 Choume no Tama: Uchi no Tama Shirimasen ka?,['Adventure'],"The characters are Tama, Momo, Wocket, Tiggle, Rockney, Pimmy, Bupkus, Bengpu, and Chopin. There is no consistent plot. Tama and his friends just have little, family friendly, adventures every episode. The only consistency is when a new friend is made one episode and flash backs. 
 
(Source: ANN)",TV,"['Aniplex', 'Group TAC', '4Kids Entertainment']",,6.72,511.0,8552.0,1241.0,36.0,Unknown,"Nov 21, 1988 to Sep 25, 1994",https://myanimelist.net/anime/2467/3_Choume_no_Tama__Uchi_no_Tama_Shirimasen_ka,False
33975,3-Nen D-Gumi Glass no Kamen,"['Comedy', 'Parody', 'School']","The series re-imagines the Glass Mask manga and its characters in a school gag comedy focused on satirizing modern society. 
 
(Source: ANN)",TV,,['DLE'],4.97,452.0,8286.0,1367.0,13.0,Manga,"Oct 3, 2016 to Dec 26, 2016",https://myanimelist.net/anime/33975/3-Nen_D-Gumi_Glass_no_Kamen,False
31646,3-gatsu no Lion,"['Game', 'Slice of Life', 'Drama', 'Seinen']","Having reached professional status in middle school, Rei Kiriyama is one of the few elite in the world of shogi. Due to this, he faces an enormous amount of pressure, both from the shogi community and his adoptive family. Seeking independence from his tense home life, he moves into an apartment in Tokyo. As a 17-year-old living on his own, Rei tends to take poor care of himself, and his reclusive personality ostracizes him from his peers in school and at the shogi hall. 
 
However, not long after his arrival in Tokyo, Rei meets Akari, Hinata, and Momo Kawamoto, a trio of sisters living with their grandfather who owns a traditional wagashi shop. Akari, the oldest of the three girls, is determined to combat Rei's loneliness and poorly sustained lifestyle with motherly hospitality. The Kawamoto sisters, coping with past tragedies, also share with Rei a unique familial bond that he has lacked for most of his life. As he struggles to maintain himself physically and mentally through his shogi career, Rei must learn how to interact with others and understand his own complex emotions. 
 
[Written by MAL Rewrite]",TV,"['Aniplex', 'Dentsu', 'NHK', 'Hakusensha', 'Asmik Ace Entertainment', 'Toy&#039;s Factory']",['Shaft'],8.43,65985.0,316.0,191592.0,22.0,Manga,"Oct 8, 2016 to Mar 18, 2017",https://myanimelist.net/anime/31646/3-gatsu_no_Lion,False
7809,3-tsu no Kumo,['Dementia'],"Plot Synopsis : Trilogy about clouds, that is, an omnibus movie consisting of three different stories of clouds. It is based on a charcoal drawing. The clouds without the fixed form are the worlds which surround us.  
 
1 ""Breathing Cloud"" 3min 10sec 
People’s body and soul transform into big a cloud, and are mixed with erotic shapes.  
 
2 ""Looking At A Cloud."" 5min 45sec 
Something happens at the junior high school. When a boy starts to draw a cloud, that drawing begin to move and eat the students...  
 
3 ""From The Cloud"" 3min 50sec 
A funny little story about people living on the soft cloud. A look at their daily life, in the morning, they listen to the bell and begin to go down the sky. 
",Movie,,,4.96,493.0,8833.0,1133.0,3.0,Original,"Aug 20, 2005",https://myanimelist.net/anime/7809/3-tsu_no_Kumo,False
30829,30-bu de Wakaru! Kore made no Love Live! TV Anime,"['Music', 'School', 'Slice of Life']",Web-exclusive recaps of  Love Live! School Idol Project  originally released on Lantis' official YouTube channel. Each episode recaps each season respectively.,OVA,,,7.49,2112.0,4878.0,6003.0,1.0,Unknown,"Apr 24, 2015 to May 22, 2015",https://myanimelist.net/anime/30829/30-bu_de_Wakaru_Kore_made_no_Love_Live_TV_Anime,False
9624,30-sai no Hoken Taiiku,"['Ecchi', 'Parody', 'Romance', 'Seinen']","Based on Mitsuba and Ichijinsha's 30-sai no Hoken Taiiku (Health and Physical Education for 30-Year-Olds) guidebook. The guide is aimed at men in their 30s who have not experienced romance or sex with women yet. 
 
Imagawa Hayao is a 30-year-old virgin bachelor. One day, a cupid descends from heaven with the express purpose of forcing him to graduate from virginity. Thus unfolds a pure love story between a 30-year-old bachelor and a 30-year-old bachelorette. 
 
(Source: AniDB)",TV,,['Gathering'],6.79,17957.0,1950.0,41148.0,12.0,Book,"Apr 7, 2011 to Jun 23, 2011",https://myanimelist.net/anime/9624/30-sai_no_Hoken_Taiiku,False
7113,30th Gundam Perfect Mission,"['Mecha', 'Sci-Fi']","30th Gundam Perfect Mission is a short original video animation (OVA) officially released by Sunrise in celebration of the 30th anniversary of the Gundam metaseries. It features all the titular and mascot gundams of the main series in a non-cannon conjoint mission. 
 
(Source: Gundam Wikia)",OVA,,['Sunrise'],7.02,2397.0,5571.0,4662.0,1.0,Unknown,"Aug 25, 2009",https://myanimelist.net/anime/7113/30th_Gundam_Perfect_Mission,False
